offer_id_1,offer_id_2,image_1,image_2,class
0e28a575dab5ef51cd74fcd9612918c6,5cbd3767ba6e9cb80550da677dfdd6b6,https://cdn.hometogo.com/large/v1/045/d48/c16ce5178333bf15380a13d33d.jpg,https://cdn.hometogo.com/large/v1/ee1/4e5/fbf259f8c76ce52dc407987ae8.jpg,angle-15-30
5b3ac5c6ae727a52,81faf961c000e29f,https://cdn.hometogo.com/large/v1/004/bff/f19df8d6874ca5d3a5028c2aff.jpg,https://cdn.hometogo.com/large/v1/55f/edb/969566fa7d9f849256decc95fa.jpg,angle-15-30
3fdeb7cc562e47be,81faf961c000e29f,https://cdn.hometogo.com/large/v1/fc7/a36/3f9a0b3ab716ab3d35ffdca709.jpg,https://cdn.hometogo.com/large/v1/55f/edb/969566fa7d9f849256decc95fa.jpg,angle-15-30
3e74976495db9b1a46ee77f5806f0e17,f64e892458c4ca2194ba654cc8fb3bdf,https://cdn.hometogo.com/large/v1/b49/01a/86555f22aaeea5f306aca98d39.jpg,https://cdn.hometogo.com/medium/v1/6cf/f60/c4283020ef6b0e977fc5eac17a.jpg,aspect-ratio
3e74976495db9b1a46ee77f5806f0e17,f64e892458c4ca2194ba654cc8fb3bdf,https://cdn.hometogo.com/large/v1/b49/01a/86555f22aaeea5f306aca98d39.jpg,https://cdn.hometogo.com/medium/v1/6cf/f60/c4283020ef6b0e977fc5eac17a.jpg,crop
3e74976495db9b1a46ee77f5806f0e17,f64e892458c4ca2194ba654cc8fb3bdf,https://cdn.hometogo.com/large/v1/b49/01a/86555f22aaeea5f306aca98d39.jpg,https://cdn.hometogo.com/medium/v1/6cf/f60/c4283020ef6b0e977fc5eac17a.jpg,zoom
16381bb4ffb6d2f0,cc2987ef2e8fffed,https://cdn.hometogo.com/medium/v1/34d/232/bb0a65e37f0beb2f5c1d5aae67.jpg,https://cdn.hometogo.com/medium/v1/532/2c6/3745d190e36cfb44fcf0fe6e56.jpg,same
3721b072d99d626a,7d81064151745bdc837b925488555d4d,https://cdn.hometogo.com/large/v1/1f9/955/981a123cc269a762b648bc79fe.jpg,https://cdn.hometogo.com/medium/v1/c81/462/a9aa9e3c4d077fb015a5c939c0.jpg,resolution
3721b072d99d626a,7d81064151745bdc837b925488555d4d,https://cdn.hometogo.com/large/v1/1f9/955/981a123cc269a762b648bc79fe.jpg,https://cdn.hometogo.com/medium/v1/c81/462/a9aa9e3c4d077fb015a5c939c0.jpg,watermark
3721b072d99d626a,7d81064151745bdc837b925488555d4d,https://cdn.hometogo.com/large/v1/1f9/955/981a123cc269a762b648bc79fe.jpg,https://cdn.hometogo.com/medium/v1/c81/462/a9aa9e3c4d077fb015a5c939c0.jpg,indoor-outdoor
1227331938bc9381,14a12c651f67a305317b5ac0a326583e,https://cdn.hometogo.com/medium/v1/5e0/649/2177bc51362a1bda68538f10c5.jpg,https://cdn.hometogo.com/large/v1/e1b/d9d/a9442ecdb787e80d76068bb9e8.jpg,renovation
49f8d7113d4dd122,f286d5927f2ea043884bdb899f0230b2,https://cdn.hometogo.com/large/v1/d0d/1c5/41446f36e5b7d0314c374ee883.jpg,https://cdn.hometogo.com/large/v1/15e/604/f3659ae7cbd8e26ba96c1027c2.jpg,same
