,offer_id_1,offer_id_2,hamming_distance_dct_stored,image_1,image_2,classes,duplicate
0,6d9040d976e4a660,b77d124e8905df67c7dd9cdeb8006e3b,0,https://cdn.hometogo.com/large/v1/0db/0b9/f7e30f4de3cca2c7352e646173.jpg,https://cdn.hometogo.com/large/v1/1c1/9f9/e224df50cf730b6f42c878c5d4.jpg,same,True
1,1cc70dae2c330d751b89f33cc229c764,6d399541e063766a73fccc6982496165,0,https://cdn.hometogo.com/medium/v1/a97/5e3/db8aca0ba87e14fa70e39df008.jpg,https://cdn.hometogo.com/large/v1/cc1/ac9/2f709ce772b8e7fb4f3c092294.jpg,same,True
2,6c785c340aaf567ae59b9619f5bade37,820e9279763f18b3,50,https://cdn.hometogo.com/medium/v1/f2e/2ab/10314a98e2ffb278e8abdfd277.jpg,https://cdn.hometogo.com/large/v1/174/838/ab56c8cdc8ead4538698bc7efd.jpg,"different-viewpoint,resolution,watermark",True
3,31ee2e28c976c1e6c12c831b435960f5,z086109bbfdda1d8c,10,https://cdn.hometogo.com/large/v1/8ae/72c/285e255ba51a94a27b8105c155.jpg,https://cdn.hometogo.com/medium/v1/c09/095/4c6ec538695b072de09a107abd.jpg,"crop,resolution,zoom",True
4,372218b4ab4347f2b2b8b20c7ee29e78,91268b4a67afcd40f2ee5dad3ff93100,14,https://cdn.hometogo.com/large/v1/c0b/566/49b6c503c1912e2681ffe2fd39.jpg,https://cdn.hometogo.com/large/v1/92f/3cd/e630a2da87143352c3d3cfa38c.jpg,illumination,True
5,17077a15c224a59d,9ea28b410f24d5d8,0,https://cdn.hometogo.com/medium/v1/8f0/0c2/14a90c8da4b4d94154c59fc20c.jpg,https://cdn.hometogo.com/medium/v1/4b9/7b2/56289bbb489b763762aa59d007.jpg,same,True
6,87a046052a64c3b1ddfa2af8e2769d8c,z086109bbfdda1d8c,10,https://cdn.hometogo.com/medium/v1/551/0bc/98821a3db00cc900c56351bd97.jpg,https://cdn.hometogo.com/medium/v1/c09/095/4c6ec538695b072de09a107abd.jpg,"crop,zoom",True
7,76b009006c6977bcb42a0ff7ecdd5978,7cb166dd3d5a56f75c3848b9cc1f215e,2,https://cdn.hometogo.com/medium/v1/b9d/904/60947693bfa9e2ddb360dbeda6.jpg,https://cdn.hometogo.com/medium/v1/e18/e7a/cb34f21f4bdd1d629017ce583a.jpg,"crop,resolution,zoom",True
8,1b4a4f8c943f333f,ad34f085b0f37c6b,0,https://cdn.hometogo.com/large/v1/6e2/133/e02a27990b9ecdfaea1a515acd.jpg,https://cdn.hometogo.com/large/v1/cbb/071/8722f40dfef1837bf15df294a7.jpg,same,True
9,167f474fe18f3cd0ebe97eed28b16e8c,6d32ab74e7db9f1475c9824f224593a2,30,https://cdn.hometogo.com/large/v1/326/ba1/238ef9830e2a715ec34fa8b439.jpg,https://cdn.hometogo.com/medium/v1/83b/836/5d545ecf25457adf27a84f58e7.jpg,"different-viewpoint,renovation,zoom",True
10,1227331938bc9381,92589408ac009043,28,https://cdn.hometogo.com/medium/v1/5e0/649/2177bc51362a1bda68538f10c5.jpg,https://cdn.hometogo.com/large/v1/d69/84a/04363ff9ee02476f549039aa6c.jpg,renovation,True
11,c21be21cd28ca6294eddf5c8a63a1716,z120122416baf0ad8,30,https://cdn.hometogo.com/medium/v1/042/237/6fccc6a3befe3dfc2642ea06a3.jpg,https://cdn.hometogo.com/medium/v1/385/b35/bddc5b443661fe956826580a59.jpg,"crop,season,zoom",True
12,23767ea83924d8f07493c8a1ac2a6019,ff7bf8d400e335f2,16,https://cdn.hometogo.com/medium/v1/53b/904/038d7b28ad2a7dbb2093c93648.jpg,https://cdn.hometogo.com/large/v1/4ea/251/1c757d23849d196d0d07063d23.jpg,resolution,True
13,710bd85ec6b2707d,f034d0648ab16fba,0,https://cdn.hometogo.com/medium/v1/945/0f4/e32207bcaa61e122d2d238d233.jpg,https://cdn.hometogo.com/medium/v1/6c1/47c/b1d71cd6a4cf3b12da489cb166.jpg,same,True
14,1f3353f7fa74e34ba78f94ed44f2edf2,3844aad540646b042fdb36aa9fc8b17d,26,https://cdn.hometogo.com/medium/v1/35b/e68/1353bb4064e89d0a4fb07a0957.jpg,https://cdn.hometogo.com/large/v1/237/6e2/1d27cc9c19e3ec357f01e08820.jpg,"different-viewpoint,watermark",True
15,599cb1d5f1d63db72deea3887175e603,aaf9966fcdfa2bf6,24,https://cdn.hometogo.com/medium/v1/999/850/6bd491b823db096dda1567a8d4.jpg,https://cdn.hometogo.com/large/v1/198/3b4/9e1d696550f0b9b22782f42782.jpg,"crop,resolution,zoom",True
16,24e67bb136fb7413,c46e710d2ea2dd84,0,https://cdn.hometogo.com/large/v1/25b/dfd/1f7d884b36fde32e87f3b57b2a.jpg,https://cdn.hometogo.com/large/v1/94e/5dc/cbd51c7460efe9a27ca97ac4e2.jpg,same,True
17,c970003583646ff2524dc077e8fe7720,f6eb9558ebc0a161,0,https://cdn.hometogo.com/medium/v1/0dd/53e/61226c7bc1f4abecbd3d517f6c.jpg,https://cdn.hometogo.com/large/v1/2f7/488/25f968b5a0f1ecf312fc718131.jpg,same,True
18,710bd85ec6b2707d,7c6f2f3c82d4f64c,0,https://cdn.hometogo.com/medium/v1/945/0f4/e32207bcaa61e122d2d238d233.jpg,https://cdn.hometogo.com/medium/v1/29b/5a5/6747e3e6e82fa62445ca846536.jpg,same,True
19,6582d5cfa7aade92,afb9093cca4832b8c0f638fedb3cb2f7,0,https://cdn.hometogo.com/large/v1/410/8b5/5164dcd48a823e1b079f85e20f.jpg,https://cdn.hometogo.com/large/v1/9e5/e5e/683ea2190710313edd47347dc9.jpg,same,True
20,9fff26e847ebab5c,c1296bbcb536b9e4,0,https://cdn.hometogo.com/small/v1/d30/c3d/2be31a6d82f654efe63a2a852b.jpg,https://cdn.hometogo.com/small/v1/ae4/1f4/7adfb020076b842147dbcf5b51.jpg,same,True
21,9fff26e847ebab5c,a3ab813f10cc8360,0,https://cdn.hometogo.com/small/v1/d30/c3d/2be31a6d82f654efe63a2a852b.jpg,https://cdn.hometogo.com/small/v1/cf1/bd1/45f60bdafcf8ed0bc644b95823.jpg,same,True
22,08b1f94645dc0217200bff97ed8411ff,6757f3948f90f97e,4,https://cdn.hometogo.com/large/v1/278/b7f/5ac807bdaa8ab5d41b15dec30b.jpg,https://cdn.hometogo.com/medium/v1/53d/76f/81f57c9781ad3f3c5141674292.jpg,illumination,True
23,2b1a73f246bf3ccdd4e590796aa8bf51,38262e08c1c8ffcc82f98cd8a370bd26,0,https://cdn.hometogo.com/large/v1/6b6/f27/c29296d584df422a767b1095ad.jpg,https://cdn.hometogo.com/large/v1/4cf/2c1/700b7fa4892c2017a26816293c.jpg,same,True
24,87a046052a64c3b1ddfa2af8e2769d8c,d7bc2708c6c0304c,6,https://cdn.hometogo.com/medium/v1/551/0bc/98821a3db00cc900c56351bd97.jpg,https://cdn.hometogo.com/large/v1/3fc/58c/98356151997c2ffa6396c36d4b.jpg,"crop,watermark,zoom",True
25,d21f22cc7cba1f12,fe191f257ecef502166d060586a1786a,8,https://cdn.hometogo.com/large/v1/f86/290/f05e8ca1938bd877920fe72d5f.jpg,https://cdn.hometogo.com/medium/v1/726/97d/fea5ae5582e0419dc05c11839b.jpg,"crop,resolution,same,watermark",True
26,02b2dfe57f9d928c64486d20dd22270f,34c696db3c054ba8775e104976cdfe53,0,https://cdn.hometogo.com/medium/v1/ff5/cfb/9cc719f068adbbcecda87696f5.jpg,https://cdn.hometogo.com/medium/v1/592/1ec/33ded0053d27c6a5e232d12dde.jpg,same,True
27,4db39dfb32ad985c633c3b321c94f380,z9635c6bb3bf9b635,22,https://cdn.hometogo.com/medium/v1/4fb/874/e53574520b908003e7daaa1ea2.jpg,https://cdn.hometogo.com/medium/v1/6f5/9dc/8d784c8fe2b61af1b0b8ea3645.jpg,"illumination,renovation,watermark,zoom",True
28,55bcead96da00ecd9460893e0f334f9e,d1016f5e8e2fb889c9193ad28690f1a3,36,https://cdn.hometogo.com/medium/v1/780/fb7/5b04b3b4682ba557655c081f5b.jpg,https://cdn.hometogo.com/large/v1/0d6/3b4/3e2a7dde2be86b8d3834852ed8.jpg,different-viewpoint,True
29,aa4d0073cfff55fe,f768c0a11e8077ca,0,https://cdn.hometogo.com/large/v1/2eb/812/95dd0f86d5900ab502e6055e06.jpg,https://cdn.hometogo.com/large/v1/9c8/1ae/a8bd2203e2b44201d915a36fbd.jpg,same,True
30,92c31ed16934d02339d17b2fd4cfa1ef,b969917afb89b62539f3d6798ad08f67,0,https://cdn.hometogo.com/medium/v1/636/433/0e096a5f8fe19291eeba2665c3.jpg,https://cdn.hometogo.com/medium/v1/312/8e6/d1ca788c5a1af45d6987f237b1.jpg,same,True
31,060fc99b9172ffe0,9f0706bc1e3dcc83,0,https://cdn.hometogo.com/large/v1/643/5f4/0e99c493bdd688ea97f54fa657.jpg,https://cdn.hometogo.com/large/v1/192/a07/429340b7a8c47d519d0ef77c52.jpg,resolution,True
32,27ac9f5e9ceee1f9,aa8ba8af5f2a2be6,32,https://cdn.hometogo.com/large/v1/a2b/813/376b6052abca0b85bb33e89849.jpg,https://cdn.hometogo.com/large/v1/afd/454/85426f40b72b90bb8678e76cc6.jpg,different-viewpoint,True
33,410b6d014b99852bcb70464fcc3007b6,bb5c73aac85a432ec348493bbc33c3c1,0,https://cdn.hometogo.com/small/v1/e5f/868/cacfa5c1d5f8e36da87c909ba1.jpg,https://cdn.hometogo.com/small/v1/d11/a38/71704759244773826d8171c8e0.jpg,same,True
34,797a545da8138d16fdde5a5253e417d1,aeb12b34d1d1b5d460d5872c65c9ddda,0,https://cdn.hometogo.com/medium/v1/433/dc8/d4218f67d082dfb881956a4730.jpg,https://cdn.hometogo.com/medium/v1/930/719/f8a186796e64b3f48d5b72b8a9.jpg,same,True
35,284d2926cb7f74145a96d3a2f69c7440,9bcae674306f0a2dee7c8ee87530415f,14,https://cdn.hometogo.com/large/v1/516/851/9e9cb545e89bb2aa132b0e5f94.jpg,https://cdn.hometogo.com/large/v1/c90/ba0/df3fcba47e2b3f48e10b0aaf3d.jpg,resolution,True
36,0c1ce7510b8228f965fe3df6561b4285,f4fe3957b4bfb16c,6,https://cdn.hometogo.com/medium/v1/d4f/f3c/467773b503de9e60fdc8fb26e9.jpg,https://cdn.hometogo.com/large/v1/dbf/6d3/12070eeaaa8356304f8460d640.jpg,"crop,watermark,zoom",True
37,5a05cf9facfcbdb563dfedad7ed0a79f,f86304e441c664fdacbf79275afbe243,6,https://cdn.hometogo.com/medium/v1/aea/8d0/ac7f85bf8e752de0ad708d945a.jpg,https://cdn.hometogo.com/large/v1/5af/6c2/e32dfabdf5270201ffc6a12249.jpg,"resolution,watermark",True
38,814898e7a6596673816afe30cb3ad9b3,c51f5b61c350e66e,22,https://cdn.hometogo.com/large/v1/183/165/50adddabf3038baea3aa7f2115.jpg,https://cdn.hometogo.com/large/v1/b43/bc4/947f1650204ffe8302a85ef865.jpg,"crop,zoom",True
39,083d591c8fea25a3aec527c117d83462,52145147b7f0fc24437557131dc59d4e,0,https://cdn.hometogo.com/medium/v1/66e/b8f/e5f1977508e6265b8ea915c9a6.jpg,https://cdn.hometogo.com/medium/v1/934/541/ec0e89703c3e1b660a1400af3a.jpg,same,True
40,43c1ad0d4ade9ac7,a90d72348b8fdbec,34,https://cdn.hometogo.com/large/v1/06d/1db/5bfc3fe9bacb775a4ad23bbace.jpg,https://cdn.hometogo.com/large/v1/867/00a/ddde9c3d28667ace00cbd7c2b2.jpg,"crop,different-viewpoint",True
41,ae10750812ad1a7f,ee00c84ec4f3738e59baea25c249fcf9,14,https://cdn.hometogo.com/large/v1/b17/cc3/6f182693a1574ee0e9111ca22c.jpg,https://cdn.hometogo.com/large/v1/108/893/124b30243a4c9f24250fa5c221.jpg,"crop,zoom",True
42,0f887d088a041b3f30f22834f866016a,92bacb7f19e58115,0,https://cdn.hometogo.com/medium/v1/2b3/8ab/c214444c7633db9129748e3176.jpg,https://cdn.hometogo.com/medium/v1/ab2/1e2/cdab55f2602fc2b847ac17832b.jpg,same,True
43,b57f750826c3e2d23b17dac4abf64721,b70b91103aaa5ceb5ced0e01ff9b2131,30,https://cdn.hometogo.com/medium/v1/1fd/6e8/04df7d5a2204ec14e82bfcd0ae.jpg,https://cdn.hometogo.com/large/v1/8d3/2db/10997d2b065406bb285496577f.jpg,different-viewpoint,True
44,4c23b09c5f05f513,c4ead998a8bb53d6,0,https://cdn.hometogo.com/large/v1/8db/b5f/67ceb0812f4a61bbe8fac9e53f.jpg,https://cdn.hometogo.com/large/v1/8db/b5f/67ceb0812f4a61bbe8fac9e53f.jpg,same,True
45,4f8153484e39faf71080799f0be96812,83e12609efd8d7c5e1c09c187e63b280,4,https://cdn.hometogo.com/medium/v1/3a7/1d5/c2d3c9ce8aaac468cbd4dc9951.jpg,https://cdn.hometogo.com/medium/v1/5ef/c5f/d2366ead96908ffaebc1063677.jpg,illumination,True
