offer_id_1,offer_id_2,image_1,image_2,hd
5b3ac5c6ae727a52,f2fb6760a71d2181,https://cdn.hometogo.com/large/v1/004/bff/f19df8d6874ca5d3a5028c2aff.jpg,https://cdn.hometogo.com/large/v1/004/bff/f19df8d6874ca5d3a5028c2aff.jpg,0
3fdeb7cc562e47be,f2fb6760a71d2181,https://cdn.hometogo.com/large/v1/fc7/a36/3f9a0b3ab716ab3d35ffdca709.jpg,https://cdn.hometogo.com/large/v1/004/bff/f19df8d6874ca5d3a5028c2aff.jpg,0
2a3ebdb60e12e37b69fa867b435cff21,5b3ac5c6ae727a52,https://cdn.hometogo.com/medium/v1/8d8/1c2/059a77c9dffcda868f72ab71dc.jpg,https://cdn.hometogo.com/large/v1/004/bff/f19df8d6874ca5d3a5028c2aff.jpg,0
dec7ce83994614f6,f2fb6760a71d2181,https://cdn.hometogo.com/large/v1/233/fac/fc6ba13f2fa473aca56914443b.jpg,https://cdn.hometogo.com/large/v1/004/bff/f19df8d6874ca5d3a5028c2aff.jpg,0
2a3ebdb60e12e37b69fa867b435cff21,f2fb6760a71d2181,https://cdn.hometogo.com/medium/v1/8d8/1c2/059a77c9dffcda868f72ab71dc.jpg,https://cdn.hometogo.com/large/v1/004/bff/f19df8d6874ca5d3a5028c2aff.jpg,0
3fdeb7cc562e47be,5b3ac5c6ae727a52,https://cdn.hometogo.com/large/v1/fc7/a36/3f9a0b3ab716ab3d35ffdca709.jpg,https://cdn.hometogo.com/large/v1/004/bff/f19df8d6874ca5d3a5028c2aff.jpg,0
55c56b707d676e4d,75c565403970316792752b83faa586b7,https://cdn.hometogo.com/large/v1/be2/a8e/a2fe34f178f99c93d4f6fd8708.jpg,https://cdn.hometogo.com/large/v1/007/e74/0bda8aed6b8751301d44066ac1.jpg,0
034611e06bc0c3b7,405e605d4da8cf2c,https://cdn.hometogo.com/large/v1/610/861/dafbe969b7c800f694cea85546.jpg,https://cdn.hometogo.com/large/v1/009/881/f16784dad117c30b5fe1683b54.jpg,0
36d89b4b7e578134,dee02b73a3199815,https://cdn.hometogo.com/large/v1/64b/255/715af32276151d94469df81227.jpg,https://cdn.hometogo.com/large/v1/00a/632/2fda66e5b5d2bb646b8b03635e.jpg,0
bd5ec01d9ba1faffd9122a5b9f21be28,dee02b73a3199815,https://cdn.hometogo.com/large/v1/52b/096/5a357f25c928174b0e09def805.jpg,https://cdn.hometogo.com/large/v1/00a/632/2fda66e5b5d2bb646b8b03635e.jpg,0
6c1c1d1b6c7db4d852aef9c08e9a7ff3,dee02b73a3199815,https://cdn.hometogo.com/medium/v1/d96/983/b70108c75be761e9b143637e13.jpg,https://cdn.hometogo.com/large/v1/00a/632/2fda66e5b5d2bb646b8b03635e.jpg,0
04ffd4fee21a676572faac6b703c4aca,3ca97e4c697972a41505a93245f53416,https://cdn.hometogo.com/large/v1/e49/ea7/a766301ea5322b9849ca226ab7.jpg,https://cdn.hometogo.com/large/v1/00f/d1c/58f02e80c960f4cce15036e631.jpg,0
12d8855183fd83c0c1618296eb6c3e72,27ecac82346dcbde,https://cdn.hometogo.com/large/v1/e52/d59/a4349685dddc35c9a88f62f783.jpg,https://cdn.hometogo.com/large/v1/019/957/dca8f29bda4b805156116c439b.jpg,0
171d9ad3a37b9052b108752398bdac5c,3ca31af709e1aaac6acb4eff62f3f504,https://cdn.hometogo.com/large/v1/8e1/0a1/d8ddd2cfb4713dde2416912b9b.jpg,https://cdn.hometogo.com/large/v1/01c/c3a/efccbfea8a05370c547653ac56.jpg,0
4d28fb4f6a2d48ec0f06dff677711f5f,5ba6addb7caff22040dd56da04637339,https://cdn.hometogo.com/large/v1/e14/bfe/a974cf8157901226eeeb5a5434.jpg,https://cdn.hometogo.com/large/v1/03d/875/534001fdbec051c65dcf6f515c.jpg,0
13c11273e5c4334eac1f8e95c96176b5,5ba6addb7caff22040dd56da04637339,https://cdn.hometogo.com/large/v1/64b/969/e989c83ffb9f8427c1ccd7bd8f.jpg,https://cdn.hometogo.com/large/v1/03d/875/534001fdbec051c65dcf6f515c.jpg,0
